Title,Company,Experience,Salary,Location,Skills,Posted,Scraped_At
Data Analyst,S&P Global Market Intelligence,0-2 Yrs,,Gurugram,"data analyst, data analytics, power bi, analytical skills, environmental science, research, sustainability reporting, sql",3 days ago,2026-03-13 22:17
Client Data Analyst,JPMorgan Chase Bank,0-4 Yrs,,Bengaluru,"Process automation, Project management, Process improvement, Risk assessment, Data collection, Management, Customer service, Risk management",1 day ago,2026-03-13 22:17
Online Data Analyst Gujarati,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, search engines, Gujarati, Data management, online maps, online research, Analysis, Management",2 days ago,2026-03-13 22:17
Data Analyst,Careernet,2-4 Yrs,,Hybrid - Gurugram,"Tableau, Dashboards, Data Analytics, SQL, Python, Analytics, Data analysis, Data",Today,2026-03-13 22:17
Data Analyst,Sparta Systems,1-3 Yrs,,Bengaluru,"database maintenance, data analysis, data management, data analytics, business analysis, power bi, dashboards, business intelligence",Few hours ago,2026-03-13 22:17
Data Analyst,Medibuddy,1-3 Yrs,,Bengaluru,"Python Data Analytics, Data Extraction, Python, MySQL, SQL, Data, Python Data, Data analysis",Today,2026-03-13 22:17
Data Analyst,ExcelR,1-4 Yrs,,Bengaluru,"excel, data extraction, data management, data analytics, data mining, predictive analytics, data visualization, Predictive",2 days ago,2026-03-13 22:17
Data Analyst,Gallagher,,,,"Advanced Excel, Logical Approach, Strategic Thinking, Power Bi, Reasoning, Problem Solving, Python, SQL",Today,2026-03-13 22:17
Data Analyst,Adecco Group,7-12 Yrs,15-22.5 Lacs PA,Chennai,"Pyspark, SQL, Python, Data Analytics, Analytics, Data analysis, Data",1 day ago,2026-03-13 22:17
Data Analyst,Rank Uno Interactive Technologies,3-5 Yrs,,Pune,"Snowflake Sql, Power Bi, Data Analysis, AWS redshift, Artificial Intelligence, Statistical Modeling, Data Visualization, Tableau",3 days ago,2026-03-13 22:17
Online Data Analyst Tamil,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, search engines, Data management, online maps, online research, Tamil, Search engine, Data",2 days ago,2026-03-13 22:17
Online Data Analyst Urdu,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, search engines, Data management, Urdu, online maps, online research, Searching, Analysis",2 days ago,2026-03-13 22:17
Online Data Analyst Malayalam,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, Malayalam, search engines, Data management, online maps, online research, Research, Management",2 days ago,2026-03-13 22:17
Online Data Analyst Marathi,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, search engines, Data management, Marathi, online maps, online research, Search engine, Data",2 days ago,2026-03-13 22:17
Online Data Analyst Kannada,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, search engines, Kannada, Data management, online maps, online research, Research, Management",2 days ago,2026-03-13 22:17
Online Data Analyst - Kannada,TELUS Digital,0-2 Yrs,,Remote,"Data Analysis, Mapping, Online Data Analysis, quality assurance, AI models, machine learning, Kannada, Machine",5 days ago,2026-03-13 22:17
Online Data Analyst - Bengali,TELUS Digital,0-1 Yrs,,Remote,"Data analysis, Bengali, data management, Online Data Analyst, online research, Research, Management, Analysis",4 days ago,2026-03-13 22:17
Online Data Analyst Punjabi,TELUS Digital,0-1 Yrs,,Remote,"Data Analysis, search engines, Online Data Analyst, online maps, online research, Punjabi, Analysis, Data",4 days ago,2026-03-13 22:17
Online Data Analyst Odia,TELUS Digital,0-1 Yrs,,Remote,"Data Analysis, search engines, Odia, Online Data Analyst, online maps, online research, Search engine, Data",4 days ago,2026-03-13 22:17
Data Analyst,Cognizant,,7-15 Lacs PA,,"Data Studio, Google Sheets, Power Bi, Data Analysis, Data Visualization, Tableau, Data Analytics, SQL",4 days ago,2026-03-13 22:17
Workday Data Analyst,Nam Info,2-5 Yrs,,Chennai,"Business process, Analytical skills, Data analysis, Data migration, Data conversion, Data management, Data analytics, Data Analyst",1 day ago,2026-03-13 22:17
Data Analyst,Stack Digital,2-5 Yrs,,Chennai,"database maintenance, python, data analysis, data analytics, data management, data mining, data warehousing, business analysis",2 days ago,2026-03-13 22:17
Data Analyst,Hiringhood,1-3 Yrs,,Mangaluru,"Pyspark, Pandas, Data Analytics, Python, SQL, Azure Cloud, Data Structures, Ci/Cd",Today,2026-03-13 22:17
Data Analyst,E Solutions It Services,4-6 Yrs,,Hybrid - Pune,"Tableau, SQL, Power Bi, Data Analysis, Data Analytics, Data Reporting, Reporting, Data",2 days ago,2026-03-13 22:17
